Title
design smell detection and analysis for open source java software
an empirical analysis on web service anti-pattern detection using a machine learning framework
poster: machine learning based code smell detection through wekanose
improving machine learning-based code smell detection via hyper-parameter optimization
automatic metric thresholds derivation for code smell detection
comparing heuristic and machine learning approaches for metric-based code smell detection
identification of code smell using machine learning
detecting patterns and antipatterns in software using prolog rules
an empirical framework for code smell prediction using extreme learning machine
comparison of machine learning methods for code smell detection using reduced features
improving design smell detection for adoption in industry
an empirical analysis on the role of wsdl metrics in web service anti-pattern prediction
antipattern and code smell false positives: preliminary conceptualization and classification
predicting maintainability of open source software using gene expression programming and bad smells
assessment of code smell for predicting class change proneness using machine learning
an empirical framework for web service anti-pattern prediction using machine learning techniques
comparison of multi-label classification algorithms for code smell detection
keep it simple: is deep learning good for linguistic smell detection?
code smell detection: towards a machine learning-based approach
an adaptive approach for automatic design defects detection in object-oriented systems
using code evolution information to improve the quality of labels in code smell datasets
detecting code smells using deep learning
an experience report on using code smells detection tools
feature envy detection based on bi-lstm with self-attention mechanism
detecting code smells using machine learning techniques: are we there yet?
an empirical examination of the relationship between code smells and merge conflicts
what if i had no smells?
sniffing android code smells: an association rules mining-based approach
